產品線,子產品/平台,網頁/工具,檔案,對應公開URL或路由,公開crawl狀態,資料來源URL,官方來源數,法源/引用筆數,待補常數來源筆數,待修正引用筆數,查證狀態,備註
民眾版,消費爭議權益計算平台,周全帳號與資料｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/account.html,https://consumer.choulegal.com/account.html,未在公開 crawl 清單,不適用（未偵測到需查證法源）,0,0,0,0,已查證,本機檔案已盤點，未偵測法律法源、裁判字號或法律計算資料。
民眾版,消費爭議權益計算平台,廣告不實求償（消保法 §22 / 公平交易法 §21）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/ad-misleading.html,https://consumer.choulegal.com/ad-misleading.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0150002&flno=21; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0150002&flno=51; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=22; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=51,4,42,0,0,已查證,公開頁已納入官方來源查核；未見待修正或待補來源項目。
民眾版,消費爭議權益計算平台,AI 應對顧問｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/ai-fallback.html,https://consumer.choulegal.com/ai-fallback.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=41,1,2,0,0,已查證,公開頁已納入官方來源查核；未見待修正或待補來源項目。
民眾版,消費爭議權益計算平台,有線電視訂閱爭議（有線電視服務應記載事項）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/cable-tv.html,https://consumer.choulegal.com/cable-tv.html,200,不適用（未偵測到需查證法源）,0,2,0,0,已查證,公開頁已掃描，未偵測需引用官方法源的法條、裁判或法律常數。
民眾版,消費爭議權益計算平台,條款是否構成契約檢查（消保法 §13 / §14 / §15）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/clause-binding.html,https://consumer.choulegal.com/clause-binding.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=11-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=12; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=13; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=14; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=15; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=17,6,62,0,0,已查證,公開頁已納入官方來源查核；未見待修正或待補來源項目。
民眾版,消費爭議權益計算平台,消費爭議申訴流程（消保法 §43）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/complaint-guide.html,https://consumer.choulegal.com/complaint-guide.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=125; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=197; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=365; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=19; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=30; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=43; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=44; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=45-2; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=47; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=50; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=51,11,52,0,0,已查證,公開頁已納入官方來源查核；未見待修正或待補來源項目。
民眾版,消費爭議權益計算平台,定型化契約總診斷（消保法 §11~§17 全流程）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/contract-master.html,https://consumer.choulegal.com/contract-master.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=17; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=11; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=11-1; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=12; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=13; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=14; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=15; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=17,8,68,0,0,已查證,公開頁已納入官方來源查核；未見待修正或待補來源項目。
民眾版,消費爭議權益計算平台,七天鑑賞期試算（消保法 §19）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/cooling-off.html,https://consumer.choulegal.com/cooling-off.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=18; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=19; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=19-2,3,18,0,0,已查證,公開頁已納入官方來源查核；未見待修正或待補來源項目。
民眾版,消費爭議權益計算平台,信用卡盜刷免責試算（24 小時黃金期）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/credit-card-fraud.html,https://consumer.choulegal.com/credit-card-fraud.html,200,不適用（未偵測到需查證法源）,0,8,0,0,已查證,公開頁已掃描，未偵測需引用官方法源的法條、裁判或法律常數。
民眾版,消費爭議權益計算平台,跨境網購爭議處理（信用卡爭議款）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/cross-border-purchase.html,https://consumer.choulegal.com/cross-border-purchase.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=19,1,2,0,0,已查證,公開頁已納入官方來源查核；未見待修正或待補來源項目。
民眾版,消費爭議權益計算平台,解約 vs 減價 vs 換貨 決策（民法 §359）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/defect-remedy.html,https://consumer.choulegal.com/defect-remedy.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=359; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=364; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=365; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=359; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=364,5,26,0,0,已查證,公開頁已納入官方來源查核；未見待修正或待補來源項目。
民眾版,消費爭議權益計算平台,訂金退還主張（民法 §249）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/deposit.html,https://consumer.choulegal.com/deposit.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=249; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=249; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=252,3,26,0,0,已查證,公開頁已納入官方來源查核；未見待修正或待補來源項目。
民眾版,消費爭議權益計算平台,食品安全求償（食安法 §56）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/food-safety.html,https://consumer.choulegal.com/food-safety.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=184; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=195; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=56; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=L0040001&flno=56,4,20,0,0,已查證,公開頁已納入官方來源查核；未見待修正或待補來源項目。
民眾版,消費爭議權益計算平台,不得記載事項黑名單檢查（消保法 §17 II）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/forbidden-clauses.html,https://consumer.choulegal.com/forbidden-clauses.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=12; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=17,2,24,0,0,已查證,公開頁已納入官方來源查核；未見待修正或待補來源項目。
民眾版,消費爭議權益計算平台,網路詐騙退費路徑｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/fraud-refund.html,https://consumer.choulegal.com/fraud-refund.html,200,不適用（未偵測到需查證法源）,0,0,0,0,已查證,公開頁已掃描，未偵測需引用官方法源的法條、裁判或法律常數。
民眾版,消費爭議權益計算平台,ConsumerPro｜消費爭議事件包與權益工具,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/index.html,https://consumer.choulegal.com/,200,不適用（未偵測到需查證法源）,0,0,0,0,已查證,公開頁已掃描，未偵測需引用官方法源的法條、裁判或法律常數。
民眾版,消費爭議權益計算平台,商品／食品標示不實求償（消保法 §22 / 食安法 §28）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/label-misrepresentation.html,https://consumer.choulegal.com/label-misrepresentation.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0070001&flno=9; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0080011&flno=9; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0150002&flno=21; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0150002&flno=51; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0150002&flno=56; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=22; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=51; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=L0040001&flno=28; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=L0040001&flno=51; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=L0040001&flno=56,10,50,0,0,已查證,公開頁已納入官方來源查核；未見待修正或待補來源項目。
民眾版,消費爭議權益計算平台,登入周全帳號｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/login.html,https://consumer.choulegal.com/login.html,未在公開 crawl 清單,不適用（未偵測到需查證法源）,0,0,0,0,已查證,本機檔案已盤點，未偵測法律法源、裁判字號或法律計算資料。
民眾版,消費爭議權益計算平台,線上遊戲爭議（線上遊戲定型化契約應記載事項）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/online-game.html,https://consumer.choulegal.com/online-game.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=227; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=B0000001&flno=77; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=22; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=51; https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=77,5,12,0,0,已查證,公開頁已納入官方來源查核；未見待修正或待補來源項目。
民眾版,消費爭議權益計算平台,預售屋糾紛權益（預售屋買賣應記載事項）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/presale-house.html,https://consumer.choulegal.com/presale-house.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=17,1,6,0,0,已查證,公開頁已納入官方來源查核；未見待修正或待補來源項目。
民眾版,消費爭議權益計算平台,隱私權政策｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/privacy.html,https://consumer.choulegal.com/privacy.html,200,不適用（未偵測到需查證法源）,0,0,0,0,已查證,公開頁已掃描，未偵測需引用官方法源的法條、裁判或法律常數。
民眾版,消費爭議權益計算平台,懲罰性賠償試算（消保法 §51）｜ConsumerPro,/Users/chouchunyeh/Desktop/choulegal/apps/consumerpro/punitive.html,https://consumer.choulegal.com/punitive.html,200,https://law.moj.gov.tw/LawClass/LawSingle.aspx?pcode=J0170001&flno=51,1,22,0,0,已查證,公開頁已納入官方來源查核；未見待修正或待補來源項目。
